var_camels,longname_camels,units_camels,scale_camels,offset_camels,var_CMIP6,units_CMIP6,Calculation,ratio,pre_adjust_scale,pre_adjust_offset,bias_correct_target,final_var,min_theo,max_theo
pet_hargreaves,Daily mean of potential evapotranspiration calculated using the Hargreaves equation,mm d-1,100,0,petharg,mm d-1,,T,1,0,T,T,0,Inf
precipitation_mean,Observed interpolated spatial mean precipitation,mm d-1,10,0,pr,kg m-2 s-1,1,T,86400,0,T,T,0,3276.7
temperature_min,Observed interpolated spatial mean daily minimum temperatures,°C,100,0,tasmin,K,1,F,1,-273.15,F,T,-100,temperature_mean
temperature_mean,Observed interpolated spatial mean daily mean temperatures,°C,100,0,tas,K,1,F,1,-273.15,T,T,-100,100
temperature_max,Observed interpolated spatial mean daily maximum temperatures,°C,100,0,tasmax,K,1,F,1,-273.15,F,T,temperature_mean,100
temperature_minDiff,Observed interpolated spatial mean daily minimum minus mean temperatures,°C,100,0,tasminD,K,1,F,1,0,T,F,-100,0
temperature_maxDiff,Observed interpolated spatial mean daily maximum minus mean temperatures,°C,100,0,tasmaxD,K,1,F,1,0,T,F,0,100
humidity_mean,Observed interpolated spatial mean of the daily humidity,%,100,0,hurs,%,1,F,1,0,T,T,0,100
radiation_global_mean,Observed interpolated spatial mean of the global radiation,W m-2,10,0,rsds,W m-2,1,T,1,0,T,T,0,1400
