var_camels,longname_camels,units_camels,scale_camels,offset_camels,var_CMIP6,units_CMIP6,Calculation,ratio,pre_adjust_scale,pre_adjust_offset,bias_correct_target,final_var,min_theo,max_theo
precip_chirps_mm_day,Daily precipitation from CHIRPS version 2,mm,10,0,pr,kg m-2 s-1,1,T,86400,0,T,T,0,3276.7
precip_cr2met_mm_day,Daily precipitation from CR2METv1.3,mm,10,0,pr,kg m-2 s-1,1,T,86400,0,T,T,0,3276.7
precip_mswep_mm_day,Daily precipitation from MSWEP v1.1,mm,10,0,pr,kg m-2 s-1,1,T,86400,0,T,T,0,3276.7
tmean_cr2met_C_day,Daily mean temperature from CR2METv1.3,°C,100,0,tas,K,1,F,1,-273.15,T,T,-100,100
tmax_cr2met_C_day_diff,Observed daily maximum minus mean temperature,°C,100,0,tasmaxD,K,1,F,1,0,T,F,0,100
tmin_cr2met_C_day_diff,Observed daily minimum minus averaged temperature,°C,100,0,tasminD,K,1,F,1,0,T,F,-100,0
pet_hargreaves_mm_day,Potential evapotranspiration calculated using Hargreaves (1985) formula,mm,100,0,petharg,mm,hargreaves,T,1,0,T,T,0,Inf
tmin_cr2met_C_day,Daily minimum temperature from CR2METv1.3,°C,100,0,tasmin,K,1,F,1,-273.15,F,T,-100,tmean_cr2met_C_day
tmax_cr2met_C_day,Daily maximum temperature from CR2METv1.3,°C,100,0,tasmax,K,1,F,1,-273.15,F,T,tmean_cr2met_C_day,100
